Optimal threshold:  131
{'Region': 1, 'Area': 427, 'Centroid': (20, 13)}
{'Region': 2, 'Area': 183, 'Centroid': (63, 4)}
{'Region': 3, 'Area': 661, 'Centroid': (108, 12)}
{'Region': 4, 'Area': 435, 'Centroid': (154, 9)}
{'Region': 5, 'Area': 475, 'Centroid': (246, 13)}
{'Region': 6, 'Area': 281, 'Centroid': (197, 15)}
{'Region': 7, 'Area': 73, 'Centroid': (137, 21)}
{'Region': 8, 'Area': 269, 'Centroid': (218, 27)}
{'Region': 9, 'Area': 226, 'Centroid': (44, 26)}
{'Region': 10, 'Area': 23, 'Centroid': (0, 26)}
{'Region': 11, 'Area': 492, 'Centroid': (173, 33)}
{'Region': 12, 'Area': 643, 'Centroid': (73, 41)}
{'Region': 13, 'Area': 225, 'Centroid': (233, 47)}
{'Region': 14, 'Area': 92, 'Centroid': (7, 44)}
{'Region': 15, 'Area': 450, 'Centroid': (138, 54)}
{'Region': 16, 'Area': 395, 'Centroid': (194, 59)}
{'Region': 17, 'Area': 517, 'Centroid': (28, 57)}
{'Region': 18, 'Area': 424, 'Centroid': (98, 73)}
{'Region': 19, 'Area': 269, 'Centroid': (214, 70)}
{'Region': 20, 'Area': 352, 'Centroid': (245, 73)}
{'Region': 21, 'Area': 157, 'Centroid': (167, 72)}
{'Region': 22, 'Area': 407, 'Centroid': (63, 83)}
{'Region': 23, 'Area': 430, 'Centroid': (129, 83)}
{'Region': 24, 'Area': 253, 'Centroid': (33, 86)}
{'Region': 25, 'Area': 506, 'Centroid': (7, 97)}
{'Region': 26, 'Area': 280, 'Centroid': (222, 94)}
{'Region': 27, 'Area': 684, 'Centroid': (174, 99)}
{'Region': 28, 'Area': 177, 'Centroid': (250, 105)}
{'Region': 29, 'Area': 360, 'Centroid': (102, 111)}
{'Region': 30, 'Area': 545, 'Centroid': (37, 122)}
{'Region': 31, 'Area': 603, 'Centroid': (126, 129)}
{'Region': 33, 'Area': 636, 'Centroid': (164, 132)}
{'Region': 34, 'Area': 189, 'Centroid': (62, 122)}
{'Region': 35, 'Area': 599, 'Centroid': (223, 127)}
{'Region': 36, 'Area': 17, 'Centroid': (252, 125)}
{'Region': 37, 'Area': 266, 'Centroid': (7, 139)}
{'Region': 38, 'Area': 899, 'Centroid': (89, 162)}
{'Region': 39, 'Area': 476, 'Centroid': (245, 153)}
{'Region': 40, 'Area': 239, 'Centroid': (66, 146)}
{'Region': 41, 'Area': 166, 'Centroid': (188, 156)}
{'Region': 42, 'Area': 404, 'Centroid': (136, 163)}
{'Region': 43, 'Area': 417, 'Centroid': (16, 168)}
{'Region': 44, 'Area': 238, 'Centroid': (213, 166)}
{'Region': 45, 'Area': 378, 'Centroid': (44, 171)}
{'Region': 46, 'Area': 651, 'Centroid': (179, 181)}
{'Region': 47, 'Area': 377, 'Centroid': (232, 184)}
{'Region': 48, 'Area': 582, 'Centroid': (130, 197)}
{'Region': 49, 'Area': 66, 'Centroid': (253, 200)}
{'Region': 50, 'Area': 168, 'Centroid': (205, 202)}
{'Region': 51, 'Area': 468, 'Centroid': (26, 215)}
{'Region': 52, 'Area': 616, 'Centroid': (102, 213)}
{'Region': 53, 'Area': 540, 'Centroid': (62, 217)}
{'Region': 54, 'Area': 207, 'Centroid': (3, 225)}
{'Region': 55, 'Area': 559, 'Centroid': (234, 227)}
{'Region': 56, 'Area': 853, 'Centroid': (180, 229)}
